entity,indicator,date,value
Latvia,Weekly new ICU admissions,2021-06-13,84.84907373396447
Latvia,Weekly new hospital admissions,2021-06-20,131.22007914671252
Latvia,Weekly new ICU admissions,2021-06-20,76.9561366424329
Latvia,Weekly new hospital admissions,2021-06-27,87.8089251432888
Latvia,Weekly new ICU admissions,2021-06-27,52.290708231396714
Latvia,Weekly new hospital admissions,2021-07-04,48.344239685630924
Latvia,Weekly new ICU admissions,2021-07-04,47.35762254918948
Latvia,Weekly new hospital admissions,2021-07-11,47.35762254918948
Latvia,Weekly new ICU admissions,2021-07-11,23.678811274594736
Latvia,Weekly new hospital admissions,2021-07-18,40.451302594099346
Latvia,Weekly new ICU admissions,2021-07-18,23.678811274594736
Latvia,Weekly new hospital admissions,2021-07-25,24.665428411036178
Latvia,Weekly new ICU admissions,2021-07-25,13.812639910180263
Latvia,Weekly new hospital admissions,2021-08-01,33.544982639009206
Latvia,Weekly new ICU admissions,2021-08-01,12.826022773738815
Latvia,Weekly new hospital admissions,2021-08-08,44.397771139865135
Latvia,Weekly new ICU admissions,2021-08-08,18.7457255923875
Latvia,Weekly new hospital admissions,2021-08-15,46.37100541274802
Latvia,Weekly new ICU admissions,2021-08-15,18.7457255923875
Latvia,Weekly new hospital admissions,2021-08-22,43.41115400342369
Latvia,Weekly new ICU admissions,2021-08-22,15.785874183063157
Latvia,Weekly new hospital admissions,2021-08-29,138.12639910180263
Latvia,Weekly new ICU admissions,2021-08-29,29.598514093243427
Latvia,Weekly new hospital admissions,2021-09-05,140.0996333746855
Latvia,Weekly new ICU admissions,2021-09-05,42.42453686698224
Latvia,Weekly new hospital admissions,2021-09-12,216.069152880677
Latvia,Weekly new ICU admissions,2021-09-12,41.43791973054079
Latvia,Weekly new hospital admissions,2021-09-19,284.1457352951369
Latvia,Weekly new ICU admissions,2021-09-19,63.14349673225263
Latvia,Weekly new hospital admissions,2021-09-26,338.40967779941644
Latvia,Weekly new ICU admissions,2021-09-26,87.8089251432888
Latvia,Weekly new hospital admissions,2021-10-03,461.73681985459734
Latvia,Weekly new ICU admissions,2021-10-03,108.52788500855922
Latvia,Weekly new hospital admissions,2021-10-10,666.9531842344185
Latvia,Weekly new ICU admissions,2021-10-10,131.22007914671252
Latvia,Weekly new hospital admissions,2021-10-17,962.9383251668528
Latvia,Weekly new ICU admissions,2021-10-17,193.3769587425237
Latvia,Weekly new hospital admissions,2021-10-24,1190.8468836848267
Latvia,Weekly new ICU admissions,2021-10-24,232.8416442001816
Latvia,Weekly new hospital admissions,2021-10-31,1170.1279238195566
Latvia,Weekly new ICU admissions,2021-10-31,298.9449923417585
Latvia,Weekly new hospital admissions,2021-11-07,1151.382198227169
Latvia,Weekly new ICU admissions,2021-11-07,416.3524315782908
Latvia,Weekly new hospital admissions,2021-11-14,799.1598805175724
Latvia,Weekly new ICU admissions,2021-11-14,393.6602374401375
Latvia,Weekly new hospital admissions,2021-11-21,600.8498360928415
Latvia,Weekly new ICU admissions,2021-11-21,314.73086652482175
Latvia,Weekly new hospital admissions,2021-11-28,527.8401679961743
Latvia,Weekly new ICU admissions,2021-11-28,267.3732439756322
Latvia,Weekly new hospital admissions,2021-12-05,437.0713914435612
Latvia,Weekly new ICU admissions,2021-12-05,208.1762157891454
Latvia,Weekly new hospital admissions,2021-12-12,303.87807802396577
Latvia,Weekly new ICU admissions,2021-12-12,169.69814746792892
Latvia,Weekly new hospital admissions,2021-12-19,373.92789471130857
Latvia,Weekly new ICU admissions,2021-12-19,162.7918275128388
Latvia,Weekly new hospital admissions,2021-12-26,342.35614634518225
Latvia,Weekly new ICU admissions,2021-12-26,132.20669628315395
Latvia,Weekly new hospital admissions,2022-01-02,362.08848907401125
Latvia,Weekly new ICU admissions,2022-01-02,129.2468448738296
Latvia,Weekly new hospital admissions,2022-01-09,451.8706484901829
Latvia,Weekly new ICU admissions,2022-01-09,157.85874183063157
Latvia,Weekly new hospital admissions,2022-01-16,461.73681985459734
Latvia,Weekly new ICU admissions,2022-01-16,134.17993055603682
Latvia,Weekly new hospital admissions,2022-01-23,572.2379391360395
Latvia,Weekly new ICU admissions,2022-01-23,140.0996333746855
Latvia,Weekly new hospital admissions,2022-01-30,780.4141549251849
