entity,indicator,date,value
Ireland,Daily ICU occupancy,2021-04-04,67.0
Ireland,Daily ICU occupancy,2021-04-11,54.0
Ireland,Daily ICU occupancy,2021-04-18,47.0
Ireland,Daily ICU occupancy,2021-04-25,47.0
Ireland,Daily ICU occupancy,2021-05-02,45.0
Ireland,Daily ICU occupancy,2021-05-09,36.0
Ireland,Daily ICU occupancy,2021-05-16,34.0
Ireland,Daily ICU occupancy,2021-05-23,38.0
Ireland,Daily ICU occupancy,2021-05-30,41.0
Ireland,Daily ICU occupancy,2021-06-06,34.0
Ireland,Daily ICU occupancy,2021-06-13,27.0
Ireland,Daily ICU occupancy,2021-06-20,18.0
Ireland,Daily ICU occupancy,2021-06-27,18.0
Ireland,Daily ICU occupancy,2021-07-04,14.0
Ireland,Daily ICU occupancy,2021-07-11,17.0
Ireland,Daily ICU occupancy,2021-07-18,20.0
Ireland,Daily ICU occupancy,2021-07-25,22.0
Ireland,Daily ICU occupancy,2021-08-01,26.0
Ireland,Daily ICU occupancy,2021-08-08,30.0
Ireland,Daily ICU occupancy,2021-08-15,36.0
Ireland,Daily ICU occupancy,2021-08-22,55.0
Ireland,Daily ICU occupancy,2021-08-29,56.0
Ireland,Daily ICU occupancy,2021-09-05,56.0
Ireland,Daily ICU occupancy,2021-09-12,56.0
Ireland,Daily ICU occupancy,2021-09-19,64.0
Ireland,Daily ICU occupancy,2021-09-26,63.0
Ireland,Daily ICU occupancy,2021-10-03,60.0
Ireland,Daily ICU occupancy,2021-10-10,70.0
Ireland,Daily ICU occupancy,2021-10-17,69.0
Ireland,Daily ICU occupancy,2021-10-24,86.0
Ireland,Daily ICU occupancy,2021-10-31,101.0
Ireland,Daily ICU occupancy,2021-11-07,86.0
Ireland,Daily ICU occupancy,2021-11-14,89.0
Ireland,Daily ICU occupancy,2021-11-21,119.0
Ireland,Daily ICU occupancy,2021-11-28,131.0
Ireland,Daily ICU occupancy,2021-12-05,117.0
Ireland,Daily ICU occupancy,2021-12-12,117.0
Ireland,Daily ICU occupancy,2021-12-19,104.0
Ireland,Daily ICU occupancy,2021-12-26,100.0
Ireland,Daily ICU occupancy,2022-01-02,93.0
Ireland,Daily ICU occupancy,2022-01-09,92.0
Ireland,Daily ICU occupancy,2022-01-16,92.0
Ireland,Daily ICU occupancy,2022-01-23,90.0
Ireland,Daily ICU occupancy,2022-01-30,73.0
Ireland,Daily ICU occupancy,2022-02-06,65.0
Ireland,Daily ICU occupancy,2022-02-13,68.0
Ireland,Daily ICU occupancy,2022-02-20,62.0
Ireland,Daily ICU occupancy,2022-02-27,54.0
Ireland,Daily ICU occupancy,2022-03-06,46.0
Ireland,Daily ICU occupancy,2022-03-13,47.0
Ireland,Daily ICU occupancy,2022-03-20,44.0
Ireland,Daily ICU occupancy,2022-03-27,55.0
Ireland,Daily ICU occupancy,2022-04-03,49.0
Ireland,Daily ICU occupancy,2022-04-10,58.0
Ireland,Daily ICU occupancy,2022-04-17,58.0
Ireland,Daily ICU occupancy,2022-04-24,42.0
Ireland,Daily ICU occupancy,2022-05-01,38.0
Ireland,Daily ICU occupancy,2022-05-08,36.0
Ireland,Daily ICU occupancy,2022-05-15,30.0
Ireland,Daily ICU occupancy,2022-05-22,24.0
Ireland,Daily ICU occupancy,2022-05-29,26.0
Ireland,Daily ICU occupancy,2022-06-05,18.0
Ireland,Daily ICU occupancy,2022-06-12,27.0
Ireland,Daily ICU occupancy,2022-06-19,26.0
Ireland,Daily ICU occupancy,2022-06-26,24.0
Ireland,Daily ICU occupancy,2022-07-03,9.0
Ireland,Daily ICU occupancy,2022-07-10,14.0
Ireland,Daily ICU occupancy,2022-07-17,20.0
Ireland,Daily ICU occupancy,2022-07-24,20.0
Ireland,Daily ICU occupancy,2022-07-31,17.0
Ireland,Daily ICU occupancy,2022-08-07,12.0
Ireland,Daily ICU occupancy,2022-08-14,10.0
Ireland,Daily ICU occupancy,2022-08-21,9.0
Ireland,Daily ICU occupancy,2022-08-28,7.0
Ireland,Daily ICU occupancy,2022-09-04,4.0
Ireland,Daily ICU occupancy,2022-09-11,4.0
Ireland,Daily ICU occupancy,2022-09-18,6.0
Ireland,Daily ICU occupancy,2022-09-25,4.0
Ireland,Daily ICU occupancy,2022-10-02,6.0
Ireland,Daily ICU occupancy,2022-10-09,4.0
Ireland,Daily ICU occupancy,2022-10-16,6.0
Ireland,Daily ICU occupancy,2022-10-23,9.0
Ireland,Daily ICU occupancy,2022-10-30,14.0
Ireland,Daily ICU occupancy,2022-11-06,6.0
Ireland,Daily ICU occupancy,2022-11-13,7.0
Ireland,Daily ICU occupancy,2022-11-20,2.0
Ireland,Daily ICU occupancy,2022-11-27,4.0
Ireland,Daily ICU occupancy,2022-12-04,6.0
Ireland,Daily ICU occupancy,2022-12-11,4.0
Ireland,Daily ICU occupancy,2022-12-18,6.0
Ireland,Daily ICU occupancy,2022-12-25,5.0
Ireland,Daily ICU occupancy,2023-01-01,14.0
